count,Site,Barren Land (Rock/Sand/Clay),Cultivated Crops,Deciduous Forest,Developed High Intensity,"Developed, Low Intensity","Developed, Medium Intensity","Developed, Open Space",Dwarf Scrub,Emergent Herbaceous Wetlands,Evergreen Forest,Grassland/Herbaceous,Mixed Forest,Open Water,Pasture/Hay,Perennial Ice/Snow,Sedge/Herbaceous,Shrub/Scrub,Woody Wetlands,all_developed
55,D17_SJER_C1_P1_v2,0,0,0,0,0,0.03147839723447972,0,0,0,0,0,0,0,0,0,0,0,0,0.03147839723447972
60,D08_TALL_C1_P1_v1,0,0,0,0,0.03095320391454852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03095320391454852
652,D18_BARR_R1_P1_v2,0,0,0,0,0,0,0.030121024613774087,0,0,0,0,0,0,0,0,0,0,0,0.030121024613774087
68,D13_NIWO_C1_P1_v2,0,0,0,0,0,0.03009249015356021,0,0,0,0,0,0,0,0,0,0,0,0,0.03009249015356021
32,D11_PRIN_C1_P2_v2,0,0,0,0.030086215812186796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030086215812186796
46,D17_SJER_C1_P1_v2,0,0,0,0.02632738677792849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02632738677792849
56,D01_BART_R1_P1_v1,0,0,0,0.02601082236001765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02601082236001765
76,D16_ABBY_R2_P1_v1,0,0,0,0,0,0.02555824589722895,0,0,0,0,0,0,0,0,0,0,0,0,0.02555824589722895
110,D16_WREF_C1_P1_v2,0,0,0,0,0,0.024293393522056193,0,0,0,0,0,0,0,0,0,0,0,0,0.024293393522056193
75,D17_TEAK_R2_P1_v3,0,0,0,0,0,0,0.023578899714223736,0,0,0,0,0,0,0,0,0,0,0,0.023578899714223736
64,D15_ONAQ_C1_P1_v2,0,0,0,0,0,0.022650457433066127,0,0,0,0,0,0,0,0,0,0,0,0,0.022650457433066127
41,D10_CPER_C1_P1_v1,0,0,0,0,0.021129663986806844,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021129663986806844
103,D01_HARV_C1_P1_v1,0,0,0,0.01816648970506792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01816648970506792
72,D12_YELL_C1_P1_v2,0,0,0,0,0.01585983430878657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01585983430878657
31,D11_CLBJ_C1_P1_v2,0,0,0,0.01504051234777546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01504051234777546
40,D16_ABBY_R2_P1_v1,0,0,0,0.013451708366962604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013451708366962604
47,D10_ARIK_A1_P2_v2,0,0,0,0,0.013330308015202224,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013330308015202224
137,D11_BLUE_A2_P1_v1,0,0,0,0.012597538974210907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012597538974210907
4,D13_WLOU_A1_P1_v1,0,0,0,0,0,0.011831869139527317,0,0,0,0,0,0,0,0,0,0,0,0,0.011831869139527317
115,D19_DEJU_R1_P1_v2,0,0,0,0.010894288456127752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010894288456127752
68,D09_WOOD_DCFS_C1_P1_v2,0,0,0,0,0,0.010783124410297884,0,0,0,0,0,0,0,0,0,0,0,0,0.010783124410297884
25,D07_MLBS_R1_P1_v5,0,0,0,0,0,0.010699215105579855,0,0,0,0,0,0,0,0,0,0,0,0,0.010699215105579855
34,D17_TEAK_R2_P1_v3,0,0,0,0,0.010689101203781427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010689101203781427
17,D17_SOAP_R1_P1_v2,0,0,0,0,0.009729686417930095,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009729686417930095
42,D14_JORN_R1_P1_v3,0,0,0,0,0.008855957845640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008855957845640654
33,D05_STEI_TREE_R1_P1_v2,0,0,0,0,0,0.0073872603337698526,0,0,0,0,0,0,0,0,0,0,0,0,0.0073872603337698526
31,D16_WREF_C1_P1_v2,0,0,0,0.006846319992579472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006846319992579472
5,D05_CHEQ_R2_P1_v2,0,0,0,0,0,0.005428528000347425,0,0,0,0,0,0,0,0,0,0,0,0,0.005428528000347425
15,D05_UNDE_C1_P1_v1,0,0,0,0,0,0.004417949835652266,0,0,0,0,0,0,0,0,0,0,0,0,0.004417949835652266
25,D14_SRER_C1_P1_v3,0,0,0,0.004403734366742998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004403734366742998
12,D03_JERC_R2_P1_v1,0,0,0,0.0028328611898017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028328611898017
8,D17_TEAK_R2_P1_v3,0,0,0,0,0,0.0025150826361838652,0,0,0,0,0,0,0,0,0,0,0,0,0.0025150826361838652
1,D15_REDB_A1_P1_v1,0,0,0,0,0.0021503988989957637,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021503988989957637
4,D10_STER_R1_P1,0,0,0,0,0,0.002085038286515536,0,0,0,0,0,0,0,0,0,0,0,0,0.002085038286515536
3,D13_MOAB_R1_P1_v2,0,0,0,0,0,0.001660908849322349,0,0,0,0,0,0,0.001660908849322349,0,0,0,0,0,0.001660908849322349
5,D12_YELL_C1_P1_v2,0,0,0,0,0,0.0011013773825546227,0,0,0,0,0,0,0,0,0,0,0,0,0.0011013773825546227
5,D09_WOOD_DCFS_C1_P1_v2,0,0,0,7.928767948748444e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.928767948748444e-4
1,D08_LENO_R2_P1_v1,0,0,0,0,0,6.474671086708795e-4,0,0,0,0,0,0,0,0,0,0,0,0,6.474671086708795e-4
2,D05_UNDE_C1_P1_v1,0,0,0,5.890599780869688e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.890599780869688e-4
1,D17_SOAP_R1_P1_v2,0,0,0,0,0,5.723344951723586e-4,0,0,0,0,0,0,0,0,0,0,0,0,5.723344951723586e-4
